"X"	"Y"	"B07"	"B06"	"B05"	"B04"	"B03"	"B02"	"B01"
461831.000000	6977621.000000	97.041466	66.000000	15.979268	7.203689	10.203689	5.000000	5.000000
461861.000000	6977621.000000	97.340187	66.298721	16.277992	7.980109	10.585510	5.000000	5.000000
461891.000000	6977621.000000	97.615036	65.713211	15.405696	7.321757	10.405696	5.000000	5.000000
461921.000000	6977621.000000	99.951744	65.988060	14.323103	6.497717	10.000000	5.000000	5.000000
461951.000000	6977621.000000	100.148346	66.219505	14.755430	6.880250	10.000000	5.000000	5.000000
461981.000000	6977621.000000	101.020729	67.510368	15.000000	7.000000	10.000000	5.000000	5.000000
462011.000000	6977621.000000	100.859940	67.195320	14.845741	7.000000	10.000000	5.000000	5.000000
462041.000000	6977621.000000	101.750206	66.556808	14.150581	6.593770	10.000000	5.000000	5.000000
462071.000000	6977621.000000	103.505188	68.206879	14.969525	6.969526	10.484763	5.000000	5.000000
462101.000000	6977621.000000	102.732826	69.406891	16.745125	8.610095	11.610095	5.000000	5.000000
462131.000000	6977621.000000	101.034149	67.999077	17.096889	8.609175	11.609175	5.000000	5.000000
462161.000000	6977621.000000	101.000000	67.979271	15.979268	7.766627	10.766627	5.000000	5.000000
462191.000000	6977621.000000	101.610092	68.197800	16.411898	8.325816	10.812997	5.000000	5.000000
462221.000000	6977621.000000	99.187996	69.000000	18.604000	9.396000	12.000000	5.000000	5.000000
462251.000000	6977621.000000	98.226288	67.622284	18.389904	9.993905	12.000000	5.000000	5.000000
462281.000000	6977621.000000	97.000000	67.937332	19.773714	10.773715	12.000000	5.000000	5.000000
462311.000000	6977621.000000	97.553528	68.446472	20.000000	10.446476	12.553524	5.000000	5.000000
462341.000000	6977621.000000	97.666664	67.666664	19.333332	10.000000	12.666666	5.000000	5.000000
462371.000000	6977621.000000	96.718315	67.780983	19.065014	10.570406	12.228632	5.723238	6.000000
462401.000000	6977621.000000	94.746246	68.756676	24.289661	18.091036	15.797042	6.000000	6.000000
462431.000000	6977621.000000	93.033134	73.827591	39.101322	27.855654	20.614443	9.571810	10.000000
461531.000000	6977651.000000	91.743874	73.181969	41.335285	26.277641	22.559437	7.000000	7.000000
461561.000000	6977651.000000	92.610519	64.955055	17.768768	7.769891	10.657820	7.000000	7.000000
461591.000000	6977651.000000	95.665947	64.719971	15.000475	7.433061	10.614350	5.085329	5.000000
461621.000000	6977651.000000	97.259499	65.473183	15.435079	7.012671	10.462399	5.000000	5.000000
461651.000000	6977651.000000	97.440186	65.394432	14.494163	7.048174	10.394433	5.000000	5.000000
461681.000000	6977651.000000	97.998978	65.366898	14.410110	7.452376	10.981319	5.000000	5.000000
461711.000000	6977651.000000	99.074738	65.822968	14.778812	7.168717	10.686720	5.000000	5.000000
461741.000000	6977651.000000	98.823700	66.000000	14.466477	7.284596	10.331118	5.000000	5.000000
461771.000000	6977651.000000	98.041672	66.000000	15.000000	7.520681	10.958325	5.000000	5.000000
461801.000000	6977651.000000	97.637962	65.642929	15.015145	7.015145	10.812014	5.000000	5.000000
461831.000000	6977651.000000	98.269188	66.338921	15.338923	6.964410	10.338923	5.000000	5.000000
461861.000000	6977651.000000	98.825264	66.000000	15.000000	6.825263	10.000000	5.000000	5.000000
461891.000000	6977651.000000	99.527306	66.000000	14.472697	7.000000	10.527303	5.000000	5.000000
461921.000000	6977651.000000	100.875893	66.329071	14.331503	6.060833	10.021948	5.000000	5.000000
461951.000000	6977651.000000	100.929260	67.321777	15.786541	6.910661	10.680091	5.000000	5.000000
461981.000000	6977651.000000	101.099731	69.800545	16.800541	8.382131	11.382131	5.000000	5.000000
462011.000000	6977651.000000	100.976891	69.009651	16.324703	8.233283	11.324702	5.000000	5.000000
462041.000000	6977651.000000	101.781532	67.113144	14.380662	6.322572	9.908581	5.000000	5.000000
462071.000000	6977651.000000	103.162300	68.119034	14.828859	7.119035	10.625429	5.000000	5.000000
462101.000000	6977651.000000	102.529289	69.422295	16.915071	8.763639	11.723236	5.000000	5.000000
462131.000000	6977651.000000	99.801010	67.878845	17.811506	8.969029	11.855889	5.000000	5.000000
462161.000000	6977651.000000	100.419647	67.000000	15.290175	7.328312	10.290175	5.000000	5.000000
462191.000000	6977651.000000	101.331032	67.042702	15.354230	7.433834	10.463497	5.000000	5.000000
462221.000000	6977651.000000	100.468758	67.567955	16.193365	8.682986	11.274996	5.000000	5.000000
462251.000000	6977651.000000	98.641869	68.912476	20.383673	12.128914	13.344119	5.000000	5.000000
462281.000000	6977651.000000	97.891022	68.560440	20.157841	12.390200	13.109973	5.000000	5.000000
